Result,Text,Title
yes,"anlatım bozukluğu içeriyor gibi geliyor bana hep, bozuk olan şey anksiyeteymiş gibi.",sosyal anksiyete bozuklugu
no,"(bkz: utangaçlık)metin münir'in konuyla ilgili 2011 tarihli bir köşe yazısı:""dünyada üçüncü en sık rastlanan ruh hastalığı veya bozukluğu nedir biliyor musunuz?utangaçlık.ama psikiyatride ‘utangaçlığın’ adı utangaçlık değildir. ‘sosyal anksiete bozukluğu’dur.bazılarına göre bu bozukluk anksiete olarak tarif edilen bozuk ruh halleri arasında en yaygın olanıdır. bazılarına göre anksieteler arasında en az tedavi edilenidir.bazılarına göre ise uydurmadır. bir mizacı, kişilik özelliğini doğal kabul etmek yerine hastalık olarak damgalamaktır.utangaçlığın resmen bir hastalık olarak psikiyatriye giriş tarihi 1980’dir. salgın haline gelmesi ise 1999’da, bir ilaç şirketinin reklam kampanyası ile başladı.çok uluslu ilaç şirketleri, devasa kârlarının büyük bir bölümünü pazar payı büyük, mahdut sayıda ilaçtan elde eder.şirketler piyasaya bu tür yeni ürün sürebilmek için sürekli uğraşı içindedirler. ama blockbuster diye bilinen bu ilaçları keşfetmek kolay değildir.daha kolay olan yol, eldeki ilaçlar için yeni hastalıklar icat etmektir.bu ‘condition branding’ denilen bir yöntemle yapılır.büyük bir halkla ilişkiler kampanyasıyla, insanlar, önce, o güne kadar hayatın normal bir parçası sayılan bir durumun aslında hastalık olduğuna ikna edilir. sonra reklam kampanyalarıyla hastalığı “tedavi” edecek ilaca sevk edilir.1990’ların sonunda glaxosmithcline paxil adlı ilacı için bunu yaptı.tabii ilaç utangaçlık için pazarlanacak olsa pek inandırıcı olmayacağı için sosyal anksiete bozukluğu için çare olduğu söylendi.bir araştırmacıya göre şirketin halkla ilişkiler/ reklam kampanyasından önce sosyal anksiete bozukluğu için medyada 50 civarında referans vardı. kampanyadan sonra, referans sayısı milyonları aştı.aynı araştırmacıya göre, iki yıl geçmeden paxil abd’de satılan yedinci en kârlı ilaç oldu.bugün sosyal anksiete bozukluğundan sık sık “dünyada üçüncü en sık rastlanan ruh hastalığı” olarak bahsediliyor.*iffet alameti utangaçlıkbu şekilde, biz dahil birçok kültürde iyi terbiye ve iffet alameti addedilen utangaçlık insanlığın yere ayak basmasından bu yana ihmal edilmiş bir bozukluk olarak hastalık fihristinde yerini aldı.ne olmuş oldu? önce ilaç icat edildi, ardından hastalık.tabii sosyal anksiete bozukluğu abd’de kalmadı. utangaçlık ilaçlarının piyasasını büyütmek içintürkiye dahil, dünyanın dört bir köşesine ihraç edildi: ithal hastalık, ithal ilaç, yerli doktor.aslında doktorların da ne kadar yerli olduğunu tartışabilirsiniz.psikiyatrinin mekke’si abd, peygamberi amerikan psikiyatri derneği, kutsal kitabı da bu dernek tarafından yazılan ruhsal bozuklukların el kitabı’dır. bu kitap türkçe dahil birçok dile çevrildi ve psikiyatristler tarafından tanı kitabı olarak kullanılıyor.hüzün, keder, yeis, yas ‘depresyon’ olur da dünyanın en yaygın “ruh hastalığı” haline gelirse, utangaçlık neden rahat bırakılsın?ingilizce bilenler için:shyness: how normal behavior became a sickness (utangaçlık: normal bir davranış nasıl hastalık haline geldi) /christopher lane ",sosyal anksiyete bozuklugu
yes,ağır işlevsellik kaybı yaşayan hastalari görmeyen zihniyet,sosyal anksiyete bozuklugu
no,(bkz: kaçınma koşullanması),sosyal anksiyete bozuklugu
no,(bkz: anksiyete/@beyimsiz),sosyal anksiyete bozuklugu
no,(bkz: pepe),sosyal anksiyete bozuklugu
yes,"sosyal anksiyete diye bir seyi kimse isteyerek kendi kendine gelistirmez, size yapilanlara karsi beyninizin sizi korumak icin gelistirdigi bir dusunce/davranis bozuklugudur",sosyal anksiyete bozuklugu
yes,bu hastalığa yakalanan kişiler gidip bakkaldan ekmek almak yerine açlıktan ölmeyi tercih edebilirler. eğer ailenizden birinde varsa yaşaması çok zordur.,sosyal anksiyete bozuklugu
no,alırım bi dal.,sosyal anksiyete bozuklugu
yes,insanlardan çekinme durumudur,sosyal anksiyete bozuklugu
yes,pencerenin altindan egilerek geciyorum. perdelerde kapali. gunduz mu gece mi bilemiyorum. gunduzum karisti gecelerime. bu dusunceler normal mi sizce? yoksa paranoyak olmam takip edilmedigim anlamina gelmez mi?,sosyal anksiyete bozuklugu
no,(bkz: çekingenlik/#5992980),sosyal anksiyete bozuklugu
yes,"kimsenin sizi izlemediğinin, kimsenin üzerinizde o kadar çok düşünmediğinin farkında olmanıza rağmen sizi sürekli olarak bir yadırganma korkusu sarar. sarıp sarıp sıkıştırır, boğar, terletir. comfort zone'unuza geri dönene kadar da bırakmaz. hayvanlar tehlike algıladığında nasıl içgüdüsel reaksiyonlar gösteriyorsa sizin de vücudunuz sosyal durumları birer tehdit olarak görür ve survival moduna geçer.",sosyal anksiyete bozuklugu
yes,sosyal fobi sahibi bir kişi utanacağı bir davranış mutlaka sergileyecektir ve içinizden biri de parmağıyla işaret edip onunla alay edecektir. bu bir kısır döngü.,sosyal anksiyete bozuklugu
yes,"sosyal anksiyete bozukluğu olan insanlar topluluk içinde konuşmak, yabancılarla tanışmak, bir toplantıda veya bir grup içinde konuşmak, sohbet başlatmak, okula gitmek, alışverişe gitmek, dışarıda yemek veya çalışmak gibi toplum içine karışacağı her durumdan mümkünse kaçınırlar. kaçınmaları mümkün değilse de bu durumdan fazlasıyla sıkıntı duyarlar.",sosyal anksiyete bozuklugu
yes,müzdarip olduğum hastalık ... çaresizim sanırım ilaç kullanmaya başlayacağım,sosyal anksiyete bozuklugu
yes,"ülkenin yüzde 70 de bulunan rahatsızlık. bunların çok düşük yüzdesi tedavi olmakta, kalanı hayatının birileri tarafından yoluna koyulması için beklemekte.",sosyal anksiyete bozuklugu
yes,instagram hastalığı,sosyal anksiyete bozuklugu
yes,ben bunu döverim ama sonra beni bulurlar hissi,sosyal anksiyete bozuklugu
yes,"kısır döngüye sokabileceğinden çok tehlikeli bir rahatsızlık. kişi bu hastalığın başlangıcında kendini sosyal ortamlardan soyutlamaya başlarsa sosyal anksiyete de artmaya başlar, çünkü insan yabancılaştığı şeylerden daha çok endişe duyar. dahası artan sosyal anksiyete daha çok soyutlanmayı da beraberinde getirir, ve bu böyle sürüp gidebilir.",sosyal anksiyete bozuklugu
yes,"kişilerin, karşısındaki kişiler tarafından aşağılanacağı veya dış etkilerden ziyade kendisinin utanacağı bir hareket yapacağı veya kendisini rezil edeceğini düşünmesi sebebiyle bu ortamlardan ve durumlardan kaçınmasıdır.",sosyal anksiyete bozuklugu
yes,bir çocuğumdan beri bununla savaşıyorum 6.sınıftayken hocanın sorduğu soruyu bilmediğim için neredeyse bayılacaktım derste ama bu normal bir utangaçlıkmış arkadaşın attığı köşe yazısına göre.hep dedim ilaçlar zararlı olur kendim çözmeliyim ama bu hastalık zaten çözebileceğin bir şey olsa çözersin.psikolojik bozuklukların tedavisinde kullanılan ilaçlara herkes öcü gözüyle bakıyor ben neredeyse intihar edecektim bu ilaçlar sayesinde o kadar iyi oldum ki iyi ki kullanmışım.ılaclari ilk kullandığımda gercekten çok büyük faydasını gördüm.cok faydasini gördüğüm için bıraktım sonra ksdmcc bıraktıktan sonra bir kaç yıl yine çok güzel geçti sonra hayatımda olan olaylardan ötürü yavaş yavaş geri geldi.suan anksiyetem hala var ama eskisi gibi değil tabi kontrol edebiliyorum artık.,sosyal anksiyete bozuklugu
yes,sosyal anksiyete bozukluğu olan insanlarda sağlıklı kontrol grubuna kıyasla artmış kortikal aktivite gözlenmektedir.,sosyal anksiyete bozuklugu
yes,sosyal sıkıntı yaşamamış,sosyal anksiyete bozuklugu
yes,bilissel davranisci terapi ile gecer tabii tek derdiniz buysa ve altinda basa sorunlar yatmiyorsa,sosyal anksiyete bozuklugu
no,görselgörseltam olarak böyle bir şey,sosyal anksiyete bozuklugu
yes,pozitif olayları ve anıları hatırlamakta güçlük çektirir. anksiyete seviyesi yüksek olan kişiler duygu ve düşüncelerini sık sık kağıda dökmelidir.,sosyal anksiyete bozuklugu
yes,içim içimi yiyor. konuşurken dahi atak şeklinde içime sinmeler yaşıyorum ve bunu savuşturmak için kasılmaya ve dik durmaya çalışıyorum. aslında çok zararlı birşey bu yaptığım.,sosyal anksiyete bozuklugu
