Result,Text,Title
yes,"açık yerlerde bulunmak korkusu, açık yerde bulunduunda başına bişi geleceini düşünen kişi, evden dışarı çıkmaya tırsar",agorafobi
yes,"korkar oldum bu agora meyhanesinden, gitmem bi daha...- o vakit “agorafobi” olur senin yaşadığın.",agorafobi
yes,davranis bozuklugu,agorafobi
yes,sigourney ablanin oynadigi karakterin oldurulmekten kilpayi kurtulduktan sonra tutuldugu illet,agorafobi
yes,açık alan korkusu. kalabalık korkusu,agorafobi
yes,"panik atak sorunu olan birçok insanda değişik semptomlarla görülebilmektedir. çevrede ev, apartman vb yapıların olmadığı açık alanlarda bulunmaktan rahatsızlık duymak, otobüs, minibüs gibi toplu taşıma araçlarında seyahat etmek, büyük kalabalık mağazaların içinde tedirginlik duymak, uzak mesafe yolculuklara çıkamamak",agorafobi
yes,agorafobisi olanlar yüksek anksiyete taşırlar,agorafobi
yes,duydugu tedirginligi,agorafobi
yes,korkarlar,agorafobi
yes,"kisi, acik alanda herhangi bir durumda kacamayacagi ve yardim bulamayacagi korkusuna kapilir. hastalik genelde kadinlarda bas gosterir. agorafobiyle birlikte kisi panik atak yasayabilir. kisi panik atak yasadigi duruma veya olayin oldugu yerde bulunursa bu ona panik atak mazisini hatirlatabilir ve boylece tekrar orada bulunmak ona korku verir ve zaten bundan kendisi cekinir. panik atak hastalari her an panik atak gecirecegi korkusu icindedir ve bu yuzden hemen yardim alabilecegi yerlerde bulunmayi tercih ederler. agorafobik insanlar disariya cikmak istemezler, bu yuzden de evde yalniz kaldiklari takdirde depresyona girme olasiliklari hep yuksektir.",agorafobi
yes,"panik atagin gelistirdigi, kalabaligin, arabalarin ustunuze ustunuze gelmesini saglayan, daha ileri safhada bakkala bile gidemeyecek duruma getiren fobidir",agorafobi
yes,"kişinin açık alandan, sokaklardan, toplu taşıtlardan kaçmasının sebebi güvensizlik ve emniyetsizliktir. başına gelebilecek durumlarda yardım alabilecegi yerlerden uzak kalmamak için yaşam alanını sınırlar. hatta evden çıkmaz.",agorafobi
yes,"pazar, park gibi açik alanlar veya güvenli bir yerden ayrilma fobisi",agorafobi
yes,"açık alan korkusu, tecrit halde yaşama arzusu. kabullenmek ve inanılmaz efor sarf ederek tedaviye katlanmak yegane çıkış yolunuzdur. ama en yakınınız agorafobik ise hayatınız cehennem demektir. anne, aynı anne olamamış. o andan itibaren anne bir daha gökyüzünü görmemeye yemin etmiş. o andan itibaren anne balkona bile çıkamaz olmuş. o andan itibaren anne evdeki katalitik sobanın gaz kaçırdığını fark edip, zehirlenmemek, içeri temiz hava girmesini sağlamak için bile pencereyi açamaz olmuş, pencerelere yaklaşamaz. o andan itibaren anne açlıktan ölme raddesine gelse bile apartmanın altındaki bakkaldan bir ekmek alamaz olmuş.",agorafobi
yes,klostrofobi,agorafobi
yes,ne kapalı ne de açık yerlerde yalnız kalamamak ve genel anlamda birine bağımlı bir hayat sürdürmeyi gerektiren bir fobidir,agorafobi
yes,hasta denmekten korkmadan vazgeçersem hastalanırım asıl kendimi bulamadan,agorafobi
yes,kalabalik korkusu,agorafobi
yes,"bir süre sonra, bakkala gitmek, bira ve sigara almak dışında bir nedenle evde çıkmaz oldum. kendi kendime garip garip korkularım gelişti, şöyle ki;dışarı çıktığımda aniden büyük tuvaletim gelirse? o sırada nerden tuvalet bulurum? ya birden ishal olursam mesela? ya midem bulanırsa? barda içerken midem bulanırsa? bu şekilde abuk subuk korkularım türedi.",agorafobi
yes,korku hissettiğim,agorafobi
yes,rahatsızlığa sahip kişilerin magic mushroom kullanmaları hiç tavsiye edilmez,agorafobi
