Title,Entry
distimi,"diğer bir deyişle kronik depresyon. bazı araştırmacılar tüm depresyonlarin biyolojik kökenli olduğunu ve beyindeki kimyasal maddelerin yetersizliğine bağlı olduğunu öne sürerlerken; bazıları da, düşünce sistemindeki psikolojik dengesizliğe dikkat çekmekteler.apa(american psychological association) ya göre, distimi söyle tanımlanıyor; son iki senedir depresif ruh halinde olmak ve bunun yanı sıra aşağidakilerin en az ikisinden yakınmak:iştah azalması veya aşırı yemek sürekli yorgunluk durumu düşük benlik algısı uyku bozukluklarıyoğun ümitsizlik duygusu yoğunlaşamama, kararsızlık distimik birey, genelde ""hep böyle"" hissettiğini söyler.  şiddetli semptomlar yoktur, dolayısıyla bu hastalık sinsi bir sekilde değişerek, distimik ruh durumu yaşam biçimi haline dönüşür."
distimi,(bkz: kronik depresyon)
distimi,(bkz: depresyon)
distimi,"depresif nevroz. en az iki yıldır süregelmekte olan depresif duygu durumunu tanımlar. yan belirtiler arasında iştah azalması ya da aşırı yemek yeme, insomnia ya da hipersomnia, enerji azalması ve yorgunluk kendine saygının azalması, cinselliği de kapsayan girişim noksanlığı, huzursuzluk, hırçınlık, karar verme güçlüğü ve umutsuzluk sayılabilir. distimi tanısının konulabilnesi için kişinin iki yıl içinde depresyondan çıkabildiği dönemlerin iki ayı geçmemesi gerekir.... bu insanların zorlanmaya dayanıklıkları azdır ve kolayca suçluluk duygularına kapılırlar. depresif nevroz genellikle sarsıcı bir olayı izler. eğer olay sevilen bi kişinin ölümüyse durum daha da karmaşıklaşır.(bkz: psikodinamik psikiyatri ve normaldışı davranışlar)ya durum bu ya da gelecek diye bi'şey yok."
distimi,"öldürmeyen ve fakat süründüren bir hastalıktır. distimide alıp vermedeki denge hep alımın aleyhinedir. bu hastalar almadan verirler. alım onlar için alınandan çok verme, aşırı sorumluluk, başkaları için çalışma ve başkalarını memnun etme anlamına gelir. şükran, sorumluluk ve suçluluk duygularıyla örülmüştür.bu dinamiğin etkisindeki kişiler aşırı bir sorumluluk bilinciyle başkaları için çalışırlar, almadan öderler. ""bana fazla geldin, beni zarara soktun, bana çok şeyler borçlusun"" diyen bir anne tasarımı vardır fonda. bu kişiler için ödeme ve şükran duyma bir yaşam felsefesi olur."
distimi,arkadaş sohbetinden varlığından haberdar olunan semptomları itibariyle vücuda cuk diye oturan ama kırılma noktası bir türlü bulunamayan bir hastalık. yani ben bunu doktora gitmeden kıramazmıyım kardeşim
distimi,(bkz: distimik bozukluk)
distimi,"kendini suçlama hastalığı diye isimlendirdiğim psikolojik rahatsızlık. bizzat mustarip olduğum durum. öyle ki yaptığın her şey sana zulümdür, kendini eleştirmekten başka şeye takatin kalmaz.  sonunda biri bana reset atsın der duruma gelirsin."
distimi,"hayatım boyunca kendi kişiliğimin parçaları olduğuna inandığım şeylerin; bariz belirtileri olduğunu öğrendiğim hastalık, mış! hissettirdiği şaşkınlığı ve boşluğu ifade etmemin mümkünatı yok. peki o zaman who the hell i think i am dr house?or is it""when you look into an abyss, the abyss also looks into you""?"
distimi,"bir yazar, hoşgelmiş."
distimi,distimik bozukluk. oh shit!http://www.youtube.com/watch?v=q2t5bgton68
distimi,"türkceye direncli depresyon olarak cevrilmelidir. kronik depresyon demek hatali olur. irritasyon gibi. zaman zaman alevlenen ve zamanla da yatisan bir duygu durum bozuklugu. inisler, cikislar ve hooop depresyon. ne zaman ne olacagi hic belli olmaz. ani süprizler yapabilir. tedavi edilmez ise (önüne gecilmez ise)  double depression halini alir. iste ozaman tehlikelidir. kac!(bkz: dysthymia)"
distimi,"en mutlu göründüğünüz ya da hissettiğiniz anlarda bile, arka planda çalışan spyware gibi işlemcinizin performansını düşüren, beyninizin bir yerinde her daim sinsice varlığını hissettiren depresyon türü.""x kişisi o kadar melankolik ki yanındayken içime fenalık geliyor"" diyerek görüşmeyi kestiğiniz arkadaşlarınızın muzdarip olduğu muhtemel hastalık."
distimi,genellikle başka bir psikiyatrik rahatsızlığın bonusudur. anksiyete ve/veya kişilik bozukluğu komorbiditesi epey yüksekmiş.
distimi,uzun süreli depresyon hali. iki yıla yakın süredir devam eden depresif şikayetler sonucu konan teşhis.
distimi,"aslinda depresif bir kisiliktir bu. can cikar huy cikmaz misali, bu sahislar karamsar ve buhran dolu mizaclarini hicbir zaman degistiremezler. yorgana dosege mahkum olamasalar da hayat boyu rahatsiz bir sekilde yasar dururlar.."
