Result,Text,Title
yes,yaygınlaşmış kaygı bozukluğu,yaygin anksiyete bozuklugu
yes,depresyon + anksiyete,yaygin anksiyete bozuklugu
yes,"sürekli bir endişe, korku içinde olduğunuzu .sürekli gelecekte başınıza gelebilecek en kötü senaryoları kurup bundan dolayı hayatı temkinli yaşamak.kafanızda yarattığınız düşünceden ve gerçekleşebilme ihtimalinden korkmak acı verici bir durum",yaygin anksiyete bozuklugu
yes,endişe edeceğinden bile endişe etmek,yaygin anksiyete bozuklugu
yes,"hayattaki her seyi tehlike unsuru olarak algilayip zehir olmaya, zehir etmeye sebebiyet veriyor. butun korkunc ihtimaller agacin dallari gibi beynini sariyor, hic renk goremiyorsun, hic umut yok. yavas yavas depresyon ve izolasyonu da yaninda getiriyor.",yaygin anksiyete bozuklugu
yes,aşırı ve durumla uygun olmayan bir endişe durumu,yaygin anksiyete bozuklugu
yes,"yazılarımda çok defa yazım hataları yapıyorum, sürekli yollarda kayboluyorum, saat tarih gün vs hep karıştırıyorum. kesin disleksiğim. ödevlerimi yetiştiremedim. zaten ben hiçbir zaman yeterince iyi olmadım. hayatımda iyi giden her şey şans eseri iyi gidiyor. asla hak etmiyorum. yine başarısız olacağım. ne kadar çalışırsam çalışayım başarısız olacağım. kesinlikle başka sonuç mümkün değil. başarısız olunca hayatımda her şey daha da kötüye gidecek. sabah otobüsü kaçırdım. işte hep böyleyim hiçbir yere zamanında yetişemiyorum her zaman her şeye geç kalıyorum. duraktaki kadın bana gülümsedi gülümsemek için geç mi kaldım? gereksiz yere kaba oldum şimdi. benim yüzümden güne negatif başladı, onun yüzünden ben de negatif başladım. neden gülümsedi ki? ayy yeter neden sürekli böyleyim? sakinleş, sakinleş, sakinleş. sürekli bu şekilde düşünmek yaygın anksiyete bozukluğudur.",yaygin anksiyete bozuklugu
yes,hastanın ciddi anksiyetesi vardı. ... yaygın anksiyete bozukluğu tanısı almış olduğunu gördüm.,yaygin anksiyete bozuklugu
yes,"muzdarip olduğum rahatsızlık. yıllardır tedavi görmekteyim. hala sıkıntı, hüzün, endişe ve çöküntü durumunu yaşıyorum. sadece endişenin beni yönetmesine izin vermiyorum, ben onu yönetiyorum.",yaygin anksiyete bozuklugu
yes, bazen çok yoğun yaşadığım bazen bana hiç uğramayan ama hep kenarlarda köşelerde duran en nefret ettiğim en sevmediğim beynimin vücudumun bana oynadığı en büyük oyun en uyuz hastalık... bazen günlerce en kötüsünü düşünürsünüz. bazen çok mutluyken ''var bundan da bir bokluk'' diye kafanıza bir kuşku düşer ve anksiyete oralardan bir yerden çıkar gülümser,yaygin anksiyete bozuklugu
yes,"kişinin endişesinin bir ya da birkaç olaya bağlı kalmaksızın, her olayda ortaya çıkması ve hayatının bütün dönemlerinde yaygın olarak yaşamasıdır.",yaygin anksiyete bozuklugu
yes,"insanda sürekli kötü şeyler olacakmış hissi yaratan, devamlı ölümü ya da sevdiklerini kaybetme duygusu yaşatan psikolojik bir hastalıktır.",yaygin anksiyete bozuklugu
